,date,o3
1360499,2013-08-03,0.074
1360505,2013-08-04,0.081
1360507,2013-08-04,0.081
1360513,2013-08-05,0.035
1360515,2013-08-05,0.035
1360521,2013-08-06,0.06
1360523,2013-08-06,0.06
1360529,2013-08-07,0.059
1360531,2013-08-07,0.059
1360537,2013-08-08,0.05
1360539,2013-08-08,0.05
1360545,2013-08-09,0.055
1360547,2013-08-09,0.055
1360553,2013-08-10,0.06
1360555,2013-08-10,0.06
1360561,2013-08-11,0.069
1360563,2013-08-11,0.069
1360569,2013-08-12,0.07
1360571,2013-08-12,0.07
1360577,2013-08-13,0.079
1360579,2013-08-13,0.079
1360585,2013-08-14,0.087
1360587,2013-08-14,0.087
1360593,2013-08-15,0.083
1360595,2013-08-15,0.083
1360601,2013-08-16,0.081
1360603,2013-08-16,0.081
1360609,2013-08-17,0.08
1360611,2013-08-17,0.08
1360617,2013-08-18,0.067
1360619,2013-08-18,0.067
1360625,2013-08-19,0.061
1360627,2013-08-19,0.061
1360633,2013-08-20,0.071
1360635,2013-08-20,0.071
1360641,2013-08-21,0.067
1360643,2013-08-21,0.067
1360649,2013-08-22,0.053
1360651,2013-08-22,0.053
1360657,2013-08-23,0.062
1360659,2013-08-23,0.062
1360665,2013-08-24,0.072
1360667,2013-08-24,0.072
1360673,2013-08-25,0.066
1360675,2013-08-25,0.066
1360681,2013-08-26,0.037
1360683,2013-08-26,0.037
1360689,2013-08-27,0.059
1360691,2013-08-27,0.059
1360697,2013-08-28,0.063
1360699,2013-08-28,0.063
1360705,2013-08-29,0.04
1360707,2013-08-29,0.04
1360713,2013-08-30,0.047
1360715,2013-08-30,0.047
1360721,2013-08-31,0.04
1360723,2013-08-31,0.04
1360729,2013-09-01,0.041
1360731,2013-09-01,0.041
1360737,2013-09-02,0.055
1360739,2013-09-02,0.055
1360745,2013-09-03,0.055
1360747,2013-09-03,0.055
1360753,2013-09-04,0.061
1360755,2013-09-04,0.061
1360761,2013-09-05,0.071
1360763,2013-09-05,0.071
1360769,2013-09-06,0.07
1360771,2013-09-06,0.07
1360777,2013-09-07,0.063
1360779,2013-09-07,0.063
1360785,2013-09-08,0.068
1360787,2013-09-08,0.068
1360793,2013-09-09,0.053
1360795,2013-09-09,0.053
1360801,2013-09-10,0.05
1360803,2013-09-10,0.05
1360809,2013-09-11,0.044
1360811,2013-09-11,0.044
1360817,2013-09-12,0.06
1360819,2013-09-12,0.06
1360825,2013-09-13,0.065
1360827,2013-09-13,0.065
1360833,2013-09-14,0.094
1360835,2013-09-14,0.094
1360841,2013-09-15,0.096
1360843,2013-09-15,0.096
1360849,2013-09-16,0.07
1360851,2013-09-16,0.07
1360857,2013-09-17,0.052
1360859,2013-09-17,0.052
1360865,2013-09-18,0.056
1360867,2013-09-18,0.056
1360873,2013-09-19,0.067
1360875,2013-09-19,0.067
1360881,2013-09-20,0.051
1360883,2013-09-20,0.051
1360889,2013-09-21,0.065
1360891,2013-09-21,0.065
1360897,2013-09-22,0.052
1360899,2013-09-22,0.052
1360905,2013-09-23,0.061
1360907,2013-09-23,0.061
1360913,2013-09-24,0.058
1360915,2013-09-24,0.058
1360921,2013-09-25,0.048
1360923,2013-09-25,0.048
1360929,2013-09-26,0.046
1360931,2013-09-26,0.046
1360937,2013-09-27,0.038
1360939,2013-09-27,0.038
1360945,2013-09-28,0.051
1360947,2013-09-28,0.051
1360953,2013-09-29,0.066
1360955,2013-09-29,0.066
1360961,2013-09-30,0.064
1360963,2013-09-30,0.064
1360969,2013-10-01,0.065
1360971,2013-10-01,0.065
1360977,2013-10-02,0.045
1360979,2013-10-02,0.045
1360985,2013-10-03,0.054
1360987,2013-10-03,0.054
1360993,2013-10-04,0.035
1360995,2013-10-04,0.035
1361001,2013-10-05,0.038
1361003,2013-10-05,0.038
1361009,2013-10-06,0.059
1361011,2013-10-06,0.059
1361017,2013-10-07,0.054
1361019,2013-10-07,0.054
1361025,2013-10-08,0.048
1361029,2013-10-09,0.036
1361033,2013-10-10,0.039
1361037,2013-10-11,0.045
1361039,2013-10-11,0.045
1361045,2013-10-12,0.051
1361047,2013-10-12,0.051
1361053,2013-10-13,0.05
1361055,2013-10-13,0.05
1361061,2013-10-14,0.044
1361063,2013-10-14,0.044
1361069,2013-10-15,0.043
1361071,2013-10-15,0.043
1361077,2013-10-16,0.043
1361079,2013-10-16,0.043
